	Id	Format	Size	Pts	Duration
466786	PLevvcC5Xbk	278	56665.0	0.0	5.12
466787	PLevvcC5Xbk	278	59499.0	5.12	5.12
466788	PLevvcC5Xbk	278	54262.0	10.24	5.12
466789	PLevvcC5Xbk	278	48288.0	15.36	5.12
466790	PLevvcC5Xbk	278	51403.0	20.48	5.12
466791	PLevvcC5Xbk	278	45832.0	25.6	5.32
466792	PLevvcC5Xbk	278	65831.0	30.92	5.48
466793	PLevvcC5Xbk	278	62656.0	36.4	5.2
466794	PLevvcC5Xbk	278	57507.0	41.6	5.12
466795	PLevvcC5Xbk	278	54519.0	46.72	5.12
466796	PLevvcC5Xbk	278	52636.0	51.84	5.12
466797	PLevvcC5Xbk	278	49865.0	56.96	5.12
466798	PLevvcC5Xbk	278	50311.0	62.08	4.68
466799	PLevvcC5Xbk	278	61089.0	66.76	5.48
466800	PLevvcC5Xbk	278	36285.0	72.24	4.36
466801	PLevvcC5Xbk	278	64761.0	76.6	5.32
466802	PLevvcC5Xbk	278	59817.0	81.92	5.12
466803	PLevvcC5Xbk	278	61216.0	87.04	5.12
466804	PLevvcC5Xbk	278	61486.0	92.16	5.12
466805	PLevvcC5Xbk	278	43349.0	97.28	4.04
466806	PLevvcC5Xbk	278	62585.0	101.32	5.48
466807	PLevvcC5Xbk	278	59509.0	106.8	5.2
466808	PLevvcC5Xbk	278	36994.0	112.0	5.12
466809	PLevvcC5Xbk	278	19409.0	117.12	4.28
466810	PLevvcC5Xbk	160	46027.0	0.0	5.12
466811	PLevvcC5Xbk	160	31579.0	5.12	5.12
466812	PLevvcC5Xbk	160	22115.0	10.24	5.12
466813	PLevvcC5Xbk	160	16107.0	15.36	5.12
466814	PLevvcC5Xbk	160	19736.0	20.48	5.12
466815	PLevvcC5Xbk	160	16104.0	25.6	5.32
466816	PLevvcC5Xbk	160	19849.0	30.92	5.48
466817	PLevvcC5Xbk	160	32656.0	36.4	5.2
466818	PLevvcC5Xbk	160	38154.0	41.6	5.12
466819	PLevvcC5Xbk	160	35890.0	46.72	5.12
466820	PLevvcC5Xbk	160	29739.0	51.84	5.12
466821	PLevvcC5Xbk	160	25808.0	56.96	5.12
466822	PLevvcC5Xbk	160	36548.0	62.08	4.68
466823	PLevvcC5Xbk	160	52090.0	66.76	5.48
466824	PLevvcC5Xbk	160	16949.0	72.24	4.36
466825	PLevvcC5Xbk	160	67286.0	76.6	5.32
466826	PLevvcC5Xbk	160	70848.0	81.92	5.12
466827	PLevvcC5Xbk	160	63176.0	87.04	5.12
466828	PLevvcC5Xbk	160	46131.0	92.16	5.12
466829	PLevvcC5Xbk	160	32136.0	97.28	4.04
466830	PLevvcC5Xbk	160	33899.0	101.32	5.48
466831	PLevvcC5Xbk	160	31719.0	106.8	5.2
466832	PLevvcC5Xbk	160	15752.0	112.0	5.12
466833	PLevvcC5Xbk	160	7850.0	117.12	4.28
466834	PLevvcC5Xbk	242	125051.0	0.0	5.12
466835	PLevvcC5Xbk	242	99204.0	5.12	5.12
466836	PLevvcC5Xbk	242	62439.0	10.24	5.12
466837	PLevvcC5Xbk	242	39116.0	15.36	5.12
466838	PLevvcC5Xbk	242	58467.0	20.48	5.12
466839	PLevvcC5Xbk	242	36621.0	25.6	5.32
466840	PLevvcC5Xbk	242	56359.0	30.92	5.48
466841	PLevvcC5Xbk	242	83159.0	36.4	5.2
466842	PLevvcC5Xbk	242	83363.0	41.6	5.12
466843	PLevvcC5Xbk	242	79899.0	46.72	5.12
466844	PLevvcC5Xbk	242	72460.0	51.84	5.12
466845	PLevvcC5Xbk	242	74369.0	56.96	5.12
466846	PLevvcC5Xbk	242	86796.0	62.08	4.68
466847	PLevvcC5Xbk	242	113881.0	66.76	5.48
466848	PLevvcC5Xbk	242	40111.0	72.24	4.36
466849	PLevvcC5Xbk	242	145881.0	76.6	5.32
466850	PLevvcC5Xbk	242	137968.0	81.92	5.12
466851	PLevvcC5Xbk	242	139245.0	87.04	5.12
466852	PLevvcC5Xbk	242	136082.0	92.16	5.12
466853	PLevvcC5Xbk	242	85122.0	97.28	4.04
466854	PLevvcC5Xbk	242	81302.0	101.32	5.48
466855	PLevvcC5Xbk	242	95978.0	106.8	5.2
466856	PLevvcC5Xbk	242	29683.0	112.0	5.12
466857	PLevvcC5Xbk	242	16644.0	117.12	4.28
466858	PLevvcC5Xbk	133	87087.0	0.0	5.12
466859	PLevvcC5Xbk	133	59267.0	5.12	5.12
466860	PLevvcC5Xbk	133	40952.0	10.24	5.12
466861	PLevvcC5Xbk	133	29830.0	15.36	5.12
466862	PLevvcC5Xbk	133	36996.0	20.48	5.12
466863	PLevvcC5Xbk	133	30094.0	25.6	5.32
466864	PLevvcC5Xbk	133	38651.0	30.92	5.48
466865	PLevvcC5Xbk	133	61436.0	36.4	5.2
466866	PLevvcC5Xbk	133	68053.0	41.6	5.12
466867	PLevvcC5Xbk	133	65550.0	46.72	5.12
466868	PLevvcC5Xbk	133	57234.0	51.84	5.12
466869	PLevvcC5Xbk	133	52842.0	56.96	5.12
466870	PLevvcC5Xbk	133	69303.0	62.08	4.68
466871	PLevvcC5Xbk	133	97667.0	66.76	5.48
466872	PLevvcC5Xbk	133	32193.0	72.24	4.36
466873	PLevvcC5Xbk	133	125285.0	76.6	5.32
466874	PLevvcC5Xbk	133	156579.0	81.92	5.12
466875	PLevvcC5Xbk	133	116579.0	87.04	5.12
466876	PLevvcC5Xbk	133	88717.0	92.16	5.12
466877	PLevvcC5Xbk	133	62109.0	97.28	4.04
466878	PLevvcC5Xbk	133	62344.0	101.32	5.48
466879	PLevvcC5Xbk	133	58175.0	106.8	5.2
466880	PLevvcC5Xbk	133	30047.0	112.0	5.12
466881	PLevvcC5Xbk	133	14162.0	117.12	4.28
466882	PLevvcC5Xbk	243	227038.0	0.0	5.12
466883	PLevvcC5Xbk	243	178079.0	5.12	5.12
466884	PLevvcC5Xbk	243	112361.0	10.24	5.12
466885	PLevvcC5Xbk	243	73018.0	15.36	5.12
466886	PLevvcC5Xbk	243	99844.0	20.48	5.12
466887	PLevvcC5Xbk	243	63323.0	25.6	5.32
466888	PLevvcC5Xbk	243	98284.0	30.92	5.48
466889	PLevvcC5Xbk	243	137309.0	36.4	5.2
466890	PLevvcC5Xbk	243	129947.0	41.6	5.12
466891	PLevvcC5Xbk	243	123829.0	46.72	5.12
466892	PLevvcC5Xbk	243	122259.0	51.84	5.12
466893	PLevvcC5Xbk	243	136068.0	56.96	5.12
466894	PLevvcC5Xbk	243	169107.0	62.08	4.68
466895	PLevvcC5Xbk	243	213535.0	66.76	5.48
466896	PLevvcC5Xbk	243	62304.0	72.24	4.36
466897	PLevvcC5Xbk	243	270538.0	76.6	5.32
466898	PLevvcC5Xbk	243	253970.0	81.92	5.12
466899	PLevvcC5Xbk	243	252097.0	87.04	5.12
466900	PLevvcC5Xbk	243	239380.0	92.16	5.12
466901	PLevvcC5Xbk	243	151857.0	97.28	4.04
466902	PLevvcC5Xbk	243	130441.0	101.32	5.48
466903	PLevvcC5Xbk	243	159213.0	106.8	5.2
466904	PLevvcC5Xbk	243	53060.0	112.0	5.12
466905	PLevvcC5Xbk	243	30018.0	117.12	4.28
466906	PLevvcC5Xbk	134	193315.0	0.0	5.12
466907	PLevvcC5Xbk	134	141384.0	5.12	5.12
466908	PLevvcC5Xbk	134	99826.0	10.24	5.12
466909	PLevvcC5Xbk	134	73451.0	15.36	5.12
466910	PLevvcC5Xbk	134	87971.0	20.48	5.12
466911	PLevvcC5Xbk	134	73366.0	25.6	5.32
466912	PLevvcC5Xbk	134	91522.0	30.92	5.48
466913	PLevvcC5Xbk	134	134532.0	36.4	5.2
466914	PLevvcC5Xbk	134	146118.0	41.6	5.12
466915	PLevvcC5Xbk	134	145693.0	46.72	5.12
466916	PLevvcC5Xbk	134	122121.0	51.84	5.12
466917	PLevvcC5Xbk	134	114832.0	56.96	5.12
466918	PLevvcC5Xbk	134	150575.0	62.08	4.68
466919	PLevvcC5Xbk	134	212253.0	66.76	5.48
466920	PLevvcC5Xbk	134	75459.0	72.24	4.36
466921	PLevvcC5Xbk	134	276440.0	76.6	5.32
466922	PLevvcC5Xbk	134	344852.0	81.92	5.12
466923	PLevvcC5Xbk	134	261369.0	87.04	5.12
466924	PLevvcC5Xbk	134	199717.0	92.16	5.12
466925	PLevvcC5Xbk	134	146688.0	97.28	4.04
466926	PLevvcC5Xbk	134	136179.0	101.32	5.48
466927	PLevvcC5Xbk	134	126446.0	106.8	5.2
466928	PLevvcC5Xbk	134	74999.0	112.0	5.12
466929	PLevvcC5Xbk	134	35961.0	117.12	4.28
466930	PLevvcC5Xbk	244	372755.0	0.0	5.12
466931	PLevvcC5Xbk	244	300305.0	5.12	5.12
466932	PLevvcC5Xbk	244	183282.0	10.24	5.12
466933	PLevvcC5Xbk	244	124326.0	15.36	5.12
466934	PLevvcC5Xbk	244	166518.0	20.48	5.12
466935	PLevvcC5Xbk	244	111687.0	25.6	5.32
466936	PLevvcC5Xbk	244	159188.0	30.92	5.48
466937	PLevvcC5Xbk	244	218989.0	36.4	5.2
466938	PLevvcC5Xbk	244	202216.0	41.6	5.12
466939	PLevvcC5Xbk	244	189826.0	46.72	5.12
466940	PLevvcC5Xbk	244	202641.0	51.84	5.12
466941	PLevvcC5Xbk	244	235038.0	56.96	5.12
466942	PLevvcC5Xbk	244	275573.0	62.08	4.68
466943	PLevvcC5Xbk	244	330641.0	66.76	5.48
466944	PLevvcC5Xbk	244	96488.0	72.24	4.36
466945	PLevvcC5Xbk	244	479897.0	76.6	5.32
466946	PLevvcC5Xbk	244	458039.0	81.92	5.12
466947	PLevvcC5Xbk	244	412654.0	87.04	5.12
466948	PLevvcC5Xbk	244	394921.0	92.16	5.12
466949	PLevvcC5Xbk	244	244789.0	97.28	4.04
466950	PLevvcC5Xbk	244	208749.0	101.32	5.48
466951	PLevvcC5Xbk	244	246244.0	106.8	5.2
466952	PLevvcC5Xbk	244	89104.0	112.0	5.12
466953	PLevvcC5Xbk	244	49602.0	117.12	4.28
466954	PLevvcC5Xbk	135	366372.0	0.0	5.12
466955	PLevvcC5Xbk	135	271272.0	5.12	5.12
466956	PLevvcC5Xbk	135	188757.0	10.24	5.12
466957	PLevvcC5Xbk	135	141131.0	15.36	5.12
466958	PLevvcC5Xbk	135	165770.0	20.48	5.12
466959	PLevvcC5Xbk	135	141629.0	25.6	5.32
466960	PLevvcC5Xbk	135	186424.0	30.92	5.48
466961	PLevvcC5Xbk	135	259648.0	36.4	5.2
466962	PLevvcC5Xbk	135	321429.0	41.6	5.12
466963	PLevvcC5Xbk	135	313383.0	46.72	5.12
466964	PLevvcC5Xbk	135	249090.0	51.84	5.12
466965	PLevvcC5Xbk	135	226518.0	56.96	5.12
466966	PLevvcC5Xbk	135	289634.0	62.08	4.68
